Claim_ID,Timeframe,Exact_Claim,Evidence_Classification,Confidence_0_to_100,Supporting_Evidence,New_Expansion,Counterevidence_or_Limit,Additional_Record_Needed
CH1-SPORT-SKIER-001,1960s-1970s,"Ivana was an accomplished competitive skier and later worked as a ski instructor.","Contemporaneous documentary evidence; well-supported biography",92,"Library and Archives Canada 1975 catalog describes her as skiing instructor and model; consistent later accounts.","Provides contemporaneous Canadian support independent of later Trump branding.","Exact competitive level and results remain unverified.","Club records; school records; Czechoslovak ski federation files; race results."
CH1-SPORT-JUNIOR-002,1960s,"Ivana was a member of a Czechoslovak junior national ski team.","Repeated secondary claim; unverified lead",55,"Repeated in biographies and obituaries.","Separates junior-team claim from Olympic claims rather than treating them as interchangeable.","No contemporary roster located in this research pass.","Junior federation rosters; Zlin and Prague club files; sports-ministry records."
CH1-SPORT-OLYMPIC-003,1972,"Ivana competed as a Czechoslovak alpine skier at the 1972 Sapporo Olympics.","Contradicted by official competition records",5,"None located.","Official Czech Olympic and FIS records show no Czechoslovak women's alpine contingent and no Ivana.","An alternate would not necessarily appear in results, but a competitor claim is unsupported.","Complete delegation and alternate roster; Czech Olympic Committee correspondence."
CH1-SPORT-ALTERNATE-004,1972,"Ivana was an alternate for the 1972 Czechoslovak Olympic ski team.","Interested-party statement; contested",35,"Repeated by Ivana and Donald Trump in public biographies.","Official roster work makes the alternate claim a distinct question rather than accepted fact.","No official alternate roster found; Czech Olympic official reportedly found no record.","Czech Olympic Committee archival inquiry; sports ministry files."
CH1-SPORT-CANADA-005,1989,"Ivana claimed membership in a Canadian Olympic ski team.","Contemporaneous reported court allegation",88,"Washington Post/Reuters report of federal trademark complaint.","Reveals a conflicting Canadian Olympic formulation in a legal-commercial context.","Original complaint not yet obtained; the claim itself is not substantiated.","Federal complaint and exhibits in Ivana Trump v. Pavion Ltd.; docket and pleadings."
CH1-TRAVEL-CONTROL-006,1965-1971,"Czechoslovak citizens required state-issued travel documents and exit authorization to cross the border.","Primary legal record",98,"Act 63/1965 and Decree 44/1970.","Grounds the mobility question in actual law rather than general Cold War description.","Exact implementation in Ivana's case is unknown.","Passport file; exit endorsement; district and Interior Ministry records."
CH1-WINKLMAYR-PURPOSE-007,1971,"Ivana married Alfred Winklmayr to obtain Austrian status and leave Czechoslovakia.","Interested-party statement corroborated in FBI biographical record",90,"Ivana memoir account; FBI immigration review reporting.","Retains original conclusion and connects it to later FBI marriage-network lead.","Underlying marriage and nationality files are not public.","Marriage certificate; Austrian citizenship and passport file; divorce record."
CH1-WINKLMAYR-ARRANGED-008,1971,"The StB or another intelligence-linked intermediary arranged the Winklmayr marriage.","Analytical hypothesis; insufficient public evidence",20,"Marriage served an exit purpose; FBI later examined a Czech-intelligence-linked fictitious-marriage facilitator.","The FBI lead makes marriage facilitation a concrete investigative avenue.","No public record connects the redacted facilitator to Winklmayr or Ivana's marriage.","Unredacted FBI files; Austrian and Czech records; identity of redacted subject."
CH1-AUSTRIAN-STATUS-009,1972,"Ivana obtained Austrian citizenship or passport status shortly after marrying Winklmayr.","Official-history reporting; underlying record missing",82,"FBI immigration review and repeated biographies.","Places exact legal mechanism on the records plan.","Citizenship and passport are distinct statuses; date and basis need proof.","Austrian nationality and passport files."
CH1-CANADA-OCCUPATION-010,1975,"Ivana worked in Canada as a ski instructor and model.","Contemporaneous documentary evidence",95,"Library and Archives Canada item 3232626.","Replaces weak later citations with a dated archival record.","Catalog metadata may derive from newspaper caption or supplied information.","Original Montreal Gazette story, contact sheet, caption sheet, and photo reproduction."
