Claim_ID,Current_Section,Exact_Claim,Relevant_Dates,People,Entities,Evidence_Class,Confidence_0_to_100,Supporting_Evidence,Counterevidence,What_It_Proves,What_It_Does_Not_Prove,Recommended_Wording,Open_Question,Records_Needed
"CH5-2015-MOSCOW-001","1.1","Trump signed a letter of intent for a Moscow tower after beginning his presidential campaign.","2015-10-28","Donald Trump; Michael Cohen; Felix Sater","Trump Organization; I.C. Expert Investment Company","Primary criminal record; executed commercial document","99","Cohen statement of offense; Mueller Report; signed LOI","Project never closed","A campaign-era Russian commercial pursuit existed","Russian payment, Kremlin control, or completed development","Trump personally approved a potentially valuable Moscow project during the campaign.","What were the complete economics and approval conditions?","Executed LOI; financial model; licensing agreement; partner diligence files"
"CH5-2016-PESKOV-002","1.2","Cohen contacted Dmitry Peskov's office seeking assistance with the Moscow project.","2016-01","Michael Cohen; Dmitry Peskov","Trump Organization; Kremlin press office","Guilty plea statement; official investigative finding","99","Cohen plea documents; Mueller Report","Contact used a general office email and did not itself secure approval","Direct Kremlin-office outreach occurred","That Putin approved, funded, or directed the project","Cohen sought Kremlin press-office assistance for the campaign-period project.","What internal Kremlin handling followed?","Peskov office logs; email routing; call memorandum; Russian-side files"
"CH5-2016-TIMELINE-003","1.2","The Moscow project remained active into June 2016.","2015-09 to 2016-06","Donald Trump; Michael Cohen; Felix Sater; Trump family members","Trump Organization","Guilty plea; communications; official report","98","Cohen statement of offense; Mueller Report; Sater communications","No final agreement or construction","The project overlapped with primaries and public denials","That it remained active through Election Day","The project continued through approximately June 2016.","When did each participant consider it terminated?","Complete email, call, calendar, travel, and draft-agreement set"
"CH5-2018-COHEN-004","1.2","Cohen made materially false statements to Congress about the Moscow project.","2017 testimony; 2018 plea","Michael Cohen","Congress; Special Counsel","Criminal guilty plea","100","Criminal information; plea agreement; statement of offense","Cohen later cooperated and corrected his account","The public and Congress received a false project chronology","Trump personally directed every false statement","Cohen admitted lying to Congress about the project's duration, Kremlin contact, and internal discussions.","Who reviewed or coordinated Cohen's congressional statement?","Draft testimony; attorney communications; Trump Organization review records"
"CH5-CONFLICT-005","1.3","The concealed Moscow pursuit created information asymmetry exploitable by Russian actors.","2015-2016","Donald Trump; Cohen; Sater; Russian officials","Trump Organization; Russian government offices","Analytical inference grounded in primary records","92","Undisclosed project; Kremlin outreach; public minimization","No evidence Russia expressly threatened exposure","Russian officials could know financially relevant facts hidden from voters","Actual coercion or quid pro quo","The project created a concrete counterintelligence vulnerability because Russian actors possessed nonpublic knowledge of Trump's continuing commercial interests.","Did Russian officials discuss using or protecting the information?","Intelligence reporting; Kremlin communications; U.S. CI assessments"
"CH5-SATER-PITCH-006","1.4","Sater linked Putin support, a Moscow deal, and Trump's political success in messages to Cohen.","2015-11","Felix Sater; Michael Cohen; Vladimir Putin; Donald Trump","Trump Organization","Contemporaneous communications","98","Sater emails reproduced in official investigations","Sater often exaggerated access","The intermediary marketed commercial and political prestige together","Actual Kremlin authorization of Sater's claims","Sater explicitly sold the project as both a business opportunity and a route to political prestige.","Which claims reflected actual Russian contacts?","Sater source communications; travel records; Russian counterpart files"
"CH5-IRA-007","2.1","The Internet Research Agency conducted a covert social-media influence operation targeting the United States.","2014-2018","Yevgeniy Prigozhin; IRA personnel","Internet Research Agency; Concord entities","Federal indictment; intelligence attribution","99","United States v. Internet Research Agency defendants; Mueller Report","Most foreign defendants were not tried on the merits","A state-linked Russian influence operation existed","Knowing campaign participation or changed election outcome","Russian actors used false identities, social media, political ads, and rallies to influence American politics.","What domestic contacts knowingly assisted?","Platform data; payment records; communications; intelligence files"
"CH5-GRU-008","2.2","GRU officers hacked Democratic and Clinton-associated targets and staged releases.","2016","Named GRU officers","GRU Units 26165 and 74455","Federal indictment; intelligence attribution","99","GRU indictment; Mueller Report; ICA","Defendants were not tried in U.S. court","Russian military intelligence conducted hacking and release operations","Campaign participation in hacking or altered vote totals","The U.S. attributed the hacking and release operation to named GRU officers.","What campaign-linked actors had advance knowledge?","GRU communications; publication-channel records; intelligence reporting"
"CH5-WIKILEAKS-009","2.3","WikiLeaks played a key role in the Russian influence campaign and likely understood it was assisting a Russian intelligence effort.","2016","Julian Assange; Roger Stone; intermediaries","WikiLeaks; GRU","Bipartisan Senate finding","94","SSCI Volume 5","WikiLeaks denied acting for Russia; formal command relationship not fully public","Publication functioned as an operational influence interface","Campaign control of WikiLeaks or participation in hacking","The Senate found WikiLeaks played a key role and very likely knew it was assisting a Russian intelligence influence effort.","What direct GRU–WikiLeaks communications remain classified?","SSCI redactions; intelligence reports; platform and intermediary communications"
"CH5-BENEFIT-010","2.4","The campaign expected to benefit electorally from information stolen and released through Russian efforts.","2016","Donald Trump; campaign officials","Trump campaign","Special Counsel finding","96","Mueller Report Volume I","Expected benefit is not agreement or conspiracy","Campaign perception and motive","Coordination agreement or criminal liability","The Special Counsel found the campaign expected to benefit electorally from stolen information releases.","Which officials knew release timing or source details?","Campaign emails; witness interviews; call records; deleted messages"
"CH5-NO-CONSPIRACY-011","2.4; 4.1","Mueller did not establish that campaign members conspired or coordinated with the Russian government in election interference.","2017-2019","Special Counsel; campaign figures","DOJ","Official prosecutorial conclusion","100","Mueller Report","Investigation faced missing, encrypted, false, and unavailable evidence","Defined legal conclusion","No contacts, no receptivity, no CI risk, or affirmative disproof of every agreement","The investigation did not establish a campaign–Russian government criminal conspiracy or coordination agreement.","Would unavailable evidence alter the conclusion?","Grand-jury material; encrypted communications; foreign witness files"
"CH5-JULY27-012","2.5","GRU officers targeted Clinton-associated personal accounts for the first time later on the day Trump publicly asked Russia for emails.","2016-07-27","Donald Trump; GRU officers","Trump campaign; GRU","Special Counsel factual chronology","96","Mueller Report","Temporal sequence does not prove causation or tasking","A striking same-day sequence","That Trump ordered or knew of the targeting","The Mueller Report records first-time targeting later the same day; causation remains unproved.","Was the statement monitored or operationally discussed by GRU?","GRU tasking and reporting; signals intelligence; campaign communications"
"CH5-PAPADOPOULOS-013","3.1","Papadopoulos learned that Russians possessed thousands of Clinton emails before public releases.","2016-04","George Papadopoulos; Joseph Mifsud","Trump campaign","Guilty plea; official investigative record","97","Papadopoulos statement of offense; Mueller Report","Mifsud's precise intelligence status remains contested","Advance knowledge reached a campaign adviser","Campaign agreement with Russia or certainty the emails were the later releases","A campaign adviser received advance information that Russians possessed politically damaging emails.","What was Mifsud's tasking and who else was told?","Mifsud communications; campaign debriefs; foreign-government reporting"
