Payoff_ID,Provider_or_Channel,Value_Delivered,Recipient_or_Access_Point,Requested_or_Foreseeable_Benefit,Later_Official_Action_or_Benefit,Timing_Signal,Concealment_or_Information_Asymmetry,Counterevidence_or_Conventional_Explanation,Evidence_Class,Inference_Strength,Missing_Bridge,Next_Record_Target
CH7-PAY-001,Russian state and 2024 influence apparatus,"Influence operations, fabricated content, cloned sites, covert media funding, narratives damaging opponents and Ukraine support","U.S. information environment; political movement benefiting Trump","Improved relations; reduced Ukraine support; sanctions relief; NATO restraint","Rapid diplomatic reset; U.N. language shift; Ukraine aid/intelligence pause; Black Sea economic-relief commitment; Anchorage summit","Benefits followed inauguration within weeks/months","No public direct campaign coordination established","Trump held longstanding preferences compatible with many of these policies; U.S. later armed Ukraine and pressured Russian oil","Official foreign-influence findings + circumstantial policy sequence",Strong corroborated circumstantial chain,"Causal communication or expected exchange","2024 influence targeting files; campaign defensive briefings; transition communications; Russian post-election assessments"
CH7-PAY-002,Kirill Dmitriev / RDIF,"Prisoner-exchange facilitation; Putin access; peace channel; economic proposals","Steve Witkoff; Jared Kushner; White House diplomatic channel","Sanctions relief; market reopening; energy/mineral/Arctic investment; normalization","Temporary sanctions authorization for Washington visit; repeated Witkoff/Kushner access; economic talks continue during stalled peace","Recurring before and after major peace talks","Economic proposals and peace talks often handled by same small circle","Legitimate diplomacy often pairs incentives with negotiations","Official Russian/U.S. records + documentary reporting",Corroborated circumstantial chain,"Proof economic benefits were privately expected or exchanged for U.S. policy","OFAC authorization; meeting notes; RDIF decks; White House/Treasury correspondence; investment term sheets"
CH7-PAY-003,Steve Witkoff / Witkoff family World Liberty overlap,"Personal envoy access plus family economic partnership with Trump family","President and Russia negotiating channel","Potential family/business upside from general crypto and economic environment","Witkoff becomes principal Russia envoy while family remains World Liberty participant","Simultaneous","Public ethics boundaries incomplete at transaction level","No evidence Russia or Dmitriev invested in World Liberty or that Witkoff traded policy for family value","Structural conflict",Plausible high-priority lead,"Any Russia-linked value to Witkoff/Trump family or intervention benefiting private venture","Ethics filings; recusal records; ownership distributions; Russian-linked wallets; communications"
CH7-PAY-004,Justin Sun,"At least $75M World Liberty investment; major $TRUMP holdings; adviser role","Trump/Witkoff family venture; presidential dinner access","SEC case relief; regulatory access","SEC litigation paused Feb. 2025; May presidential dinner; March 2026 $10M settlement and dismissal","Value precedes and overlaps favorable regulatory resolution","Investor identity and litigation interest were public, not concealed","SEC may have independently reassessed enforcement priorities; settlement included monetary payment","Documented private value + regulatory sequence",Strong circumstantial payoff lead,"Evidence of Trump/White House intervention or explicit expected exchange","SEC settlement chain; White House contacts; lobbying; wallet/source funds; World Liberty communications"
CH7-PAY-005,UAE state-backed MGX / World Liberty USD1,"$2B Binance investment executed using Trump-family-linked USD1 stablecoin","World Liberty ecosystem; Binance","Stablecoin adoption/value; Binance/Zhao federal relief","Trump pardons Binance founder Changpeng Zhao Oct. 2025","Large transaction months before pardon","Transaction publicly announced","Pardon may reflect general clemency/crypto policy; no proof Zhao directed stablecoin choice to get pardon","Foreign state-linked transaction + clemency sequence",Corroborated circumstantial payoff lead,"Connection between Binance/MGX/USD1 transaction and pardon process","Pardon petition; sponsor/lobbyist records; White House contacts; USD1 economics; MGX/Binance communications"
CH7-PAY-006,Global $TRUMP token purchasers,"Approximately $148M qualifying holdings among dinner attendees; globally accessible token purchases","Direct presidential dinner access","Access; possible later individual governmental treatment","Presidential dinner held May 2025","Purchases determine access ranking","Many buyers pseudonymous or through wallets/entities","Paid political/commercial events can be lawful; access not proof of official favor","Direct monetized-access mechanism",Established mechanism / buyer-level outcomes unresolved,"Identity and later benefit for each buyer","Wallet clustering; exchange KYC; guest list; Secret Service/club records; agency outcomes"
CH7-PAY-007,Aqua 1 Foundation,"Publicly announced $100M World Liberty token purchase","Trump/Witkoff-linked crypto venture","Unknown; possible financial/political access","No specific official benefit established","Purchase during presidency","Beneficial ownership reportedly opaque","Could be speculative crypto investment","Opaque foreign-value lead",Plausible lead,"Beneficial owner and governmental interests","KYC; wallets; corporate ownership; UAE/other government connections; White House contacts"
CH7-PAY-008,Crypto industry broadly,"Campaign support; token/stablecoin demand; large increase in Trump-family crypto wealth","Trump family; administration political coalition","Lighter enforcement; favorable legislation; pardons; regulatory framework","Crypto enforcement shifts; clemency; White House industry events; Trump urges market-structure bill","Ongoing","Conflicts disclosed unevenly through private entities/wallets","Policy could reflect campaign platform and broader industry views","Sector-level conflict feedback loop",Strong structural conflict / actor-specific quid pro quo unproved,"Firm-by-firm payment-to-action links","Donor/investor records; executive branch contacts; SEC/CFTC/DOJ decision files; legislation advocacy"
CH7-PAY-009,Russian Black Sea negotiating channel,"Maritime/security cooperation offer","White House Russia negotiation team","Rosselkhozbank/SWIFT/correspondent accounts/insurance/ports/agricultural trade relief","U.S. publicly commits to facilitate ag/fertilizer market access, insurance, ports, payments","Same negotiation round","Terms summarized publicly but full agreement absent","Economic incentives may be legitimate ceasefire inducements; some demands not granted","Direct negotiating reciprocity",Established requested-benefit chain / implementation incomplete,"Which Russian demands were actually delivered and why","OFAC licenses; bank/SWIFT records; shipping/insurance actions; EU coordination; negotiation drafts"
CH7-PAY-010,Russian leadership / Anchorage channel,"High-level engagement and willingness to negotiate; undisclosed compromises Putin says Russia accepted","Trump; Witkoff; Kushner","No ceasefire precondition; NATO limits; territorial/security/sanctions terms; normalization","Presidential summit on U.S. soil; shift toward comprehensive deal; no-NATO posture; continued talks","Summit and immediate follow-up","Underlying proposals undisclosed","No final agreement; U.S. arms and NATO support continue","Official summit + Russian statements",Strong negotiating-gain chain / corrupt exchange unproved,"Actual Anchorage proposal and quid-pro-quo structure","All term sheets/maps/memos; interpreter notes; NSC/State/Treasury briefing books; Russian draft comparison"
