Claim_ID,Section,Exact_Claim,Relevant_Date,Source_Class,Evidence_Status,Confidence_0_to_100,Supporting_Evidence,Counterevidence_or_Alternative,Recommended_Wording,Missing_Record,FOIA_or_Record_Target
CH7-BASE-001,"Corrected baseline","Mike Waltz served as National Security Advisor during the opening 2025 Russia diplomacy","2025-02-11","White House primary record","Established by primary record",99,"White House statement attributed to National Security Advisor Mike Waltz","Waltz later left role; does not establish control over every decision","Mike Waltz, not Richard Grenell, served as National Security Advisor during the opening diplomacy","Personnel calendars and delegation records","White House/NARA personnel and calendar records"
CH7-BASE-002,"Corrected baseline","Trump's joint address to Congress occurred March 4, 2025, not February 28","2025-03-04","White House and Congressional primary record","Established by primary record",100,"Official video and Congressional Record","None material","The joint address occurred March 4; February 28 was the Zelenskyy Oval Office confrontation","None","None"
CH7-RUS-DIP-001,"Russia diplomacy","Witkoff obtained direct Russian access through the Marc Fogel exchange","2025-02-11","White House primary record","Established by primary record",97,"White House announced Witkoff departing Russian airspace with Fogel","Hostage diplomacy is legitimate and exchange terms remain undisclosed","The exchange established direct Witkoff access to Russian decision-makers","Exchange terms and reciprocal obligations","State, NSC, White House, NARA, DOJ"
CH7-RUS-DIP-002,"Russia diplomacy","The United States held bilateral talks with Russia in Riyadh without Ukraine in that meeting","2025-02-17/19","State Department and official travel records","Established by primary record",98,"Rubio travel record and meeting participants","Preliminary adversary talks may be normal and Ukraine joined later processes","Russia received early bilateral agenda access before Ukraine entered that channel","Meeting objectives, notes, proposed concessions","State Department, NSC, White House PRA"
CH7-RUS-UN-001,"United Nations","The United States opposed the Ukraine- and Europe-backed General Assembly resolution","2025-02-24","United Nations primary record","Established by primary record",100,"General Assembly vote record","United States supported a separate resolution calling for an end to war","The United States changed its U.N. posture and opposed the territorial-integrity-centered resolution","Decision memo and diplomatic instructions","State Department, USUN, NSC"
CH7-RUS-UN-002,"United Nations","Russia welcomed the changed U.S. position and the shorter Security Council resolution","2025-02-24","U.N. official statement and Russian official reporting","Attributed official statement",96,"Russian representative's remarks in U.N. record; Interfax/TASS coverage","Public welcome does not prove private direction","Russian officials publicly treated the U.S. shift as favorable","Internal Russian instructions and U.S.-Russia communications","State/USUN; Russian archival targets"
CH7-RUS-UN-003,"United Nations","The U.N. shift reduced Russia's diplomatic isolation without recognizing annexations","2025-02-24","Primary records plus analysis","Strong analytical inference",91,"Removal of aggressor and territorial-integrity language welcomed by Russia","Resolution still called for ending the war and did not validate annexation","The shift delivered a diplomatic framing benefit to Moscow but did not recognize territorial claims","U.S. decision rationale","State/NSC/PRA"
CH7-RUS-UKR-001,"Ukraine pressure","Trump and Vance publicly confronted Zelenskyy in the Oval Office","2025-02-28","Official video","Established by primary record",100,"White House video","Political confrontation alone does not prove coercion or Russian influence","The public confrontation immediately preceded suspension of support","Internal meeting notes","White House PRA, NSC"
CH7-RUS-UKR-002,"Ukraine pressure","The United States paused military assistance to Ukraine after the confrontation","2025-03","Official restoration statement and documentary reporting","Established",98,"March 11 joint statement restored assistance; Pentagon reporting","Administration described pause as leverage for peace and stockpile review issues arose separately","Military support was temporarily suspended as pressure on Kyiv","Signed directive, exact inventory, start/end times","DOD, NSC, OMB, White House PRA"
CH7-RUS-UKR-003,"Ukraine pressure","The United States paused intelligence sharing with Ukraine","2025-03","CIA confirmation, restoration statement, documentary reporting","Established",98,"Ratcliffe confirmation; March 11 statement","Scope may have varied by product and system","Intelligence sharing was suspended and later restored","Product list, legal basis, operational effects","CIA, ODNI, NSA, DIA, NSC"
CH7-RUS-UKR-004,"Ukraine pressure","Russian media accurately identified the cutoff as capable of weakening Ukrainian strike capability","2025-03-06","Russian state-media reception plus Western source attribution","Corroborated narrative evidence",89,"RIA cited FT and U.S. officials; intelligence support is operationally significant","Russian state media had propaganda incentives and did not know every technical detail","Russian state media treated the cutoff as a concrete battlefield advantage","U.S./Ukrainian damage assessment","CIA, DOD, Ukraine records"
CH7-RUS-UKR-005,"Ukraine pressure","Ukraine accepted the U.S. interim ceasefire proposal and support was immediately restored","2025-03-11","Joint U.S.-Ukraine statement","Established by jointly attributed record",99,"Ukrainian presidential statement","Russia did not accept a complete ceasefire on the same terms","Support was restored after Ukraine accepted the U.S. proposal","Negotiation drafts and side conditions","State, NSC, Ukraine archival records"
CH7-RUS-BS-001,"Black Sea","The U.S.-Russia statement promised help restoring Russian agricultural and fertilizer market access","2025-03-25","White House primary record","Established by primary record",100,"Published U.S.-Russia statement","Could be justified by food security and did not necessarily require broad sanctions relief","The United States publicly contemplated identifiable economic relief for Russia","Implementation files and licenses","Treasury, State, NSC, OFAC"
CH7-RUS-BS-002,"Black Sea","The U.S.-Russia statement promised help with insurance, ports, and payment systems not mirrored in the U.S.-Ukraine statement","2025-03-25","Comparative primary records","Established by primary record",99,"Side-by-side White House statements","Different problems required different provisions","The published statements contained an asymmetrical commercial inducement to Russia","Valuation and reciprocal commitments","Treasury, State, Commerce, NSC"
CH7-RUS-NATO-001,"NATO","Trump publicly excluded Ukrainian NATO membership from the contemplated settlement","2025","White House/public statements","Established as public policy position",97,"Trump and administration statements","Accession lacked consensus and posed escalation risks","The administration adopted a core Russian objective while citing strategic constraints","Draft security-guarantee and peace texts","NSC, State, NATO, White House PRA"
CH7-RUS-NATO-002,"NATO","NATO reaffirmed Article 5 and adopted a 5% defense/security benchmark at The Hague","2025-06-25","NATO primary record","Established by primary record",100,"Hague Summit declaration","Implementation extends to 2035 and categories include security-related spending","NATO remained intact and substantially raised spending commitments","National implementation plans","NATO and national defense ministries"
CH7-RUS-NATO-003,"NATO","NATO's Ankara declaration again treated Russia as a long-term threat and pledged major Ukraine support","2026-07-08","NATO primary record","Established by primary record",100,"Ankara declaration and NATO releases","Pledges require implementation and do not themselves end the war","The 2026 alliance record is strong counterevidence to a NATO-abandonment theory","Delivery and burden records","NATO, DOD, State"
CH7-RUS-AID-001,"Military aid","The administration later directed additional defensive weapons to Ukraine","2025-07","DOD primary record","Established by primary record",99,"Pentagon announcement","Aid followed a pause and may have been limited","The administration later imposed material military costs on Russia","Itemized transfer and timing records","DOD, DSCA, State"
CH7-RUS-PURL-001,"Military aid","PURL supplied U.S.-made weapons funded by allies","2025-07 onward","NATO primary record","Established by primary record",99,"NATO PURL releases","Allied funding also advanced U.S. burden-sharing goals","PURL combined continued Ukraine support with allied financing","Package and delivery data","NATO, DOD, DSCA"
CH7-RUS-OIL-001,"Economic pressure","Trump imposed an additional tariff on India because of Russian-oil purchases","2025-08-06","White House executive action","Established by primary record",100,"Executive order","Tariff burden fell directly on India and effects on Russian revenue require measurement","The tariff was a real indirect pressure measure against Russian oil revenue","Trade and shipping impact","Treasury, Commerce, USTR, CBP"
CH7-RUS-OIL-002,"Economic pressure","The tariff was removed after an asserted Indian commitment to stop Russian-oil imports","2026-02","White House executive action","Established as administration representation",96,"Removal order and stated Indian commitment","Actual direct and indirect flows require verification","The administration conditioned relief on a claimed behavioral change","Indian commitment text and trade data","USTR, State, Treasury, Indian government"
CH7-RUS-SANC-001,"Sanctions","Treasury sanctioned Rosneft and Lukoil in October 2025","2025-10-22","Treasury primary record","Established by primary record",100,"OFAC/Treasury announcement","Sanctions effectiveness depends on implementation and evasion controls","The administration later imposed material direct costs on major Russian energy interests","Enforcement, licensing, and ownership data","Treasury/OFAC"
CH7-RUS-SUM-001,"Summit diplomacy","Trump hosted Putin in Alaska and no public ceasefire resulted","2025-08-15","Official and documentary records","Established",99,"Summit records and subsequent statements","Summit may have produced private progress not publicly visible","The summit restored high-level legitimacy without a documented settlement","Full meeting notes, interpreter notes, commitments","White House PRA, State, NSC"
CH7-RUS-INTEL-001,"Intelligence diplomacy","CIA Director Ratcliffe met Russian intelligence counterparts in Moscow","2026-08-25","Reuters/AP and Kremlin statement","Established by multiple attributed sources",98,"Kremlin confirmation and U.S. reporting","Intelligence contacts can serve urgent U.S. interests","Ratcliffe made a rare intelligence-level Moscow visit whose purpose remains undisclosed","Mission authorization, participants, objectives, readout","CIA, NSC, State, White House"
CH7-RUS-INTEL-002,"Intelligence diplomacy","Washington asked Kyiv to avoid strikes on specified Russian regions during Ratcliffe's visit","2026-08-25","AP attributed Ukrainian official","Credibly reported allegation",82,"AP source stated Kyiv was notified and asked to suspend specified strikes","Anonymous source; request may have been routine protection for U.S. delegation","AP reported a temporary operational request protecting the delegation's visit","Written request, channels, scope","CIA, State, NSC, DOD, Ukrainian government"
CH7-ENF-KLEP-001,"Enforcement rollback","DOJ disbanded Task Force KleptoCapture","2025-02-05","Attorney General primary record","Established by primary record",100,"Bondi cartel memorandum","Resources redirected to cartels and TCOs","DOJ eliminated its dedicated Russia-oligarch task force while prioritizing cartels","Pending matter inventory and outcomes","DOJ Criminal Division, MLARS, FBI, USMS"
CH7-ENF-KLEP-002,"Enforcement rollback","DOJ disbanded the Kleptocracy Team and Kleptocracy Asset Recovery Initiative","2025-02-05","Attorney General primary record","Established by primary record",100,"Bondi memorandum","Other asset-forfeiture authorities remained","Dedicated kleptocracy structures were ended, reducing specialized capacity","Personnel and case reassignment records","DOJ, FBI, USMS, Treasury"
