Flow_ID,Date_or_Range,Counterparty_or_Source,Connection_Type,Trump_Asset_or_Entity,Amount_USD,Amount_Type,Direction,Directness,Evidence_Status,Included_in_Direct_Receipt_Floor,Included_in_Branded_Ecosystem_Total,Overlap_Group,Best_Source,Analytical_Note
RF-001,1982,Holiday Inn/Harrah's,U.S. corporate finance,Atlantic City casino partnership,210000000,project capital,into project,direct,established,no,no,context-1982,Visual_Timeline/1982.json,"Not Russian-linked. This is platform formation and leverage context, not Russian income."
RF-002,1983,Equitable Life Assurance,U.S. institutional finance,Trump Tower,200000000,project development value,into project,direct,established,no,no,context-1983,Visual_Timeline/1983.json,"Not Russian-linked. The transaction created the luxury-condominium platform later used by opaque and foreign buyers."
RF-003,1984,David Bogatin,Russian-emigre organized-crime-linked buyer,Trump Tower five condominiums,6000000,gross property-sale value,to Trump Tower project,direct to part-owned project,established,yes,yes,bogatin-1984,https://www.washingtonpost.com/archive/politics/1992/01/27/new-polish-bank-scandal-involves-us-tax-felon/d673ff42-7981-4df5-9ebf-e19c7612adb2/,"Federal forfeiture later treated the units as assets bought to launder money and hide assets. Trump attended the closing. Trump knowledge of criminal source at closing is not established, and the $6M was not Trump net income."
RF-004,1986,Yuri Dubinin/Soviet diplomatic apparatus,Soviet state cultivation,Proposed Moscow hotel,0,access and prospective opportunity,to Trump,indirect,established,no,no,cultivation-1986,https://www.politico.com/magazine/story/2017/11/19/trump-first-moscow-trip-215842,"No realized cash. Commercial opportunity, prestige, and direct state access were cultivation value."
RF-005,1987,Soviet government/Intourist,Soviet state hospitality,Moscow and Leningrad trip,,non-cash hospitality and access,to Trump,indirect,established but unquantified,no,no,cultivation-1987,Tmanch_CH2.md,"The Visual Timeline assigns an estimated hospitality value without primary accounting. That estimate is excluded."
RF-006,1987,Donald Trump,post-Moscow political activation,National newspaper advertisements,94801,Trump expenditure,from Trump,direct,established,no,no,activation-1987,https://www.washingtonpost.com/archive/politics/1987/09/02/between-the-lines-of-a-millionaires-ad/9c6db9c3-f7d6-4aa4-9ec4-a312feb2639e/,"The ads attacked allied burden-sharing soon after the Soviet-controlled trip. Contemporary reporting says Trump wrote the message; direct Soviet authorship is not established."
RF-007,1996,Prospective Moscow partners,Russian commercial and municipal access,Proposed Moscow projects,250000000,announced prospective investment,not realized,indirect,proposal only,no,no,prospective-moscow-1996,Tmanch_CH3.md,"Announced development ambition and access, not income."
RF-008,late 1990s-early 2000s,Russian and former-Soviet buyers,Russian/post-Soviet purchaser demand,Trump World Tower,,gross property-sale value,to project,direct to project,documented pattern; amount incomplete,no,no,world-tower-buyers,Tmanch_CH3.md,"Approximately 65 Russian purchasers were reported, but unit-level prices, beneficial owners, commissions, and Trump receipts have not been reconstructed."
RF-009,2000,TRUMPP Equities Limited and Serik Rakhmetov,Kazakh/offshore-name-match lead,Unknown,0,unresolved corporate lead,unknown,unknown,connection speculative,no,no,trumpp-equities-2000,Visual_Timeline/2000.json,"The extra-P company name is not proof of Trump ownership or a transaction. Preserved only as an entity-resolution lead."
RF-010,2001-2016,63 Russian-passport-or-address buyers,Russian purchaser demand,Seven South Florida Trump-branded towers,98400000,gross property-purchase volume,to branded projects,indirect and varied,Reuters property-record analysis,no,yes,south-florida-reuters,https://www.yahoo.com/news/russian-elite-invested-nearly-100m-in-trump-172405344.html,"Transaction volume, not Trump net income. Project economics could include licensing, management, marketing, commissions, minority distributions, direct sponsor proceeds, or no direct sale proceeds."
RF-011,2005,Trump/Bayrock Moscow project,Russian-development effort,Proposed Trump Tower Moscow,4000000,Visual Timeline expenditure estimate,from Trump,claimed direct,unsupported estimate,no,no,prospective-moscow-2005,Visual_Timeline/2005.json,"The yearly JSON assigns $4M without a source. Excluded pending accounting, contract, invoice, or testimony support."
RF-012,2006,Bayrock Group and Sapir Organization,post-Soviet-linked development network,Trump SoHo,25000000,estimated value of 18% project interest,to Trump interests,indirect,project interest documented; valuation requires support,no,no,trump-soho-equity-2006,Visual_Timeline/2006.json,"The JSON labels a $25M value as confirmed but supplies no source. Preserve the 18% economic-interest issue while excluding the valuation until original agreements and appraisals are obtained."
RF-013,2007,FL Group,Icelandic investor advised by Alfa Investment Consulting,Bayrock portfolio,50000000,project investment,to Bayrock,indirect,investment established; Russian provenance unresolved,no,no,bayrock-flgroup,Tmanch_CH4.md,"Not classified as Russian income. Source of funds, beneficial owners, debt/equity characterization, and payments to Trump entities require bank and fund records."
RF-014,2007-2010,VEB-linked Zaporizhstal transaction,Russian state-bank-linked proceeds,Trump Toronto project,15000000,reported project-capital transfer,to project,indirect,initially reported then withdrawn or disputed,no,no,toronto-veb,https://businessmirror.com.ph/2017/06/05/bank-at-center-of-us-inquiry-projects-russian-soft-power/,"A lawyer initially said about $15M entered the project and later withdrew confirmation. Trump licensed and managed the property; exact Trump fees are separate and unquantified."
RF-015,2008,Dmitry Rybolovlev,Russian oligarch and industrial wealth,Maison de L'Amitie,95000000,gross sale proceeds,to Trump-controlled seller,direct,established,yes,yes,rybolovlev-2008,https://www.mansionglobal.com/amp/articles/last-lot-of-former-trump-estate-in-palm-beach-sells-for-37-29-million-204941,"Trump acquired the property for $41.35M. The gross spread was $53.65M before renovation, carrying, tax, brokerage, documentary-stamp, and closing costs."
RF-016,2008,Donald Trump Jr. statement,company admission of Russian demand,Trump Organization assets,,contemporaneous admission,n/a,n/a,documented statement,no,no,admission-2008,https://www.washingtonpost.com/politics/trump-lawyers-outline-presidents-russian-income-but-provide-no-documents/2017/05/12/526bc80a-3727-11e7-b412-62beef8121f7_story.html,"Trump Jr. said Russians formed a disproportionate cross-section of assets and described money pouring in from Russia."
RF-017,2010-2011,Russian buyers after Trump Hollywood relaunch,Russian purchaser demand,Trump Hollywood,11200000,gross property-purchase volume,to project,indirect,developer-reported,no,no,south-florida-reuters,https://www.washingtonpost.com/politics/in-little-moscow-russians-helped-donald-trumps-brand-survive-the-recession/2016/11/04/f9dbd38e-97cf-11e6-bb29-bf2701dbe0a3_story.html,"Overlaps the broader South Florida total. A developer estimated Trump earned $10M-$20M from the project overall, but the income cannot be attributed exclusively to Russian purchasers."
RF-018,2010,Oleg Misevra,Russian coal executive,Trump Hollywood penthouse,6750000,gross unit purchase,to project,indirect,property-record reporting,no,no,south-florida-reuters,https://www.washingtonpost.com/politics/in-little-moscow-russians-helped-donald-trumps-brand-survive-the-recession/2016/11/04/f9dbd38e-97cf-11e6-bb29-bf2701dbe0a3_story.html,"Included within the broader South Florida purchaser dataset and excluded from totals to prevent double counting."
RF-019,2007-2010,86 Russia-or-former-Soviet-linked all-cash buyers,Russian/post-Soviet purchaser demand,Ten Trump-branded properties in Florida and New York,109000000,gross all-cash property volume,to branded projects,indirect and varied,documentary property-record analysis,no,no,property-cash-expanded,https://vnews.com/2018/06/19/buyers-tied-to-russia-former-soviet-republics-paid-109-million-cash-for-trump-properties-18301121/,"Broader but overlapping dataset. Preserved as corroboration rather than added to the $98.4M Reuters total."
RF-020,2013,Agalarov/Crocus Group,Russian oligarch and Kremlin-adjacent commercial partner,Miss Universe Moscow,12000000,gross pageant underwriting,to Miss Universe operation,indirect to Trump ownership,Senate testimony and tax-derived reporting,no,yes,miss-universe-2013,https://www.independent.co.uk/news/world/americas/trump-tax-returns-losses-income-avoidance-b669865.html,"Crocus paid a $6M license fee and about $6M in expenses. This is project financing, not $12M of Trump personal income."
RF-021,2013,Agalarov-financed Moscow pageant,Russian commercial-political access,Miss Universe Moscow,2300000,reported Trump personal payout,to Trump,direct,tax-derived documentary reporting,yes,no,miss-universe-2013,https://www.independent.co.uk/news/world/americas/trump-tax-returns-losses-income-avoidance-b669865.html,"Trump and NBC reportedly split $4.7M of pageant profit, producing an approximately $2.3M Trump payday. It is a subset of the pageant economics and is not added to the $12M project-underwriting figure."
RF-022,2013,Trump tax-lawyer letter,foreign income disclosure,Trump tax returns,12200000,total foreign income,reported to Trump interests,direct and indirect,lawyer assertion without released returns,no,no,miss-universe-2013,https://www.washingtonpost.com/politics/trump-lawyers-outline-presidents-russian-income-but-provide-no-documents/2017/05/12/526bc80a-3727-11e7-b412-62beef8121f7_story.html,"The letter said Moscow generated a substantial portion of $12.2M total foreign income. It did not establish that all $12.2M came from Russia and supplied no returns. Excluded from totals."
RF-023,2013-2014,Agalarov network,Russian development opportunity,Trump Tower Moscow proposals,,prospective licensing and development value,not realized,indirect,established proposal,no,no,prospective-moscow-2013,Tmanch_CH4.md,"Commercial aspiration and access were real; realized tower revenue is not established."
RF-024,2015-2016,I.C. Expert/Sater/Cohen Moscow project,Russian development opportunity,Trump Tower Moscow,,prospective licensing and development value,not realized,indirect,established conflict; no realized payment,no,no,prospective-moscow-2015,Tmanch_CH5.md,"The project created information asymmetry and leverage during the campaign even without completed revenue."
RF-025,2007-2016,Russian hotel/golf/product customers,Russian ordinary-course demand,Trump properties and licensed products,,ordinary-course income,to Trump businesses,direct and varied,acknowledged but unquantified,no,no,ordinary-sales,https://www.washingtonpost.com/politics/trump-lawyers-outline-presidents-russian-income-but-provide-no-documents/2017/05/12/526bc80a-3727-11e7-b412-62beef8121f7_story.html,"Trump's lawyers acknowledged these categories while calling them immaterial. The returns, payer identities, and transaction records were not released."
RF-026,2021-2022,Paxum Bank/ES Family Trust and reported Anton Postolnikov links,Russian-American-linked financing lead,Trump Media and Technology Group,8000000,emergency loans,to TMTG,direct to company,documentary reporting; source and knowledge unresolved,no,no,tmtg-2022,Tmanch_CH6.md,"Not established as Russian state money or criminal proceeds. Requires trust, KYC, wire, board, conversion, and repayment records."
RF-027,1984-2013,Conservative identified direct-receipt floor,mixed Russian-linked counterparties,Trump-controlled or part-owned assets and operations,103300000,non-overlapping gross receipts or payout,to Trump-linked interests,mixed,derived from RF-003 RF-015 RF-021,yes,no,aggregate-direct-floor,Tmanch_Russian_Linked_Financial_Methodology.md,"$6.0M Bogatin project sales + $95.0M Rybolovlev sale + approximately $2.3M personal pageant payout. This is not Trump net income; the Bogatin proceeds entered a part-owned project."
RF-028,1984-2016,Conservative broader gross ecosystem floor,mixed Russian-linked counterparties,Trump assets brand and projects,211400000,non-overlapping gross transaction or project value,to Trump-linked ecosystem,mixed,derived from RF-003 RF-010 RF-015 RF-020,no,yes,aggregate-ecosystem-floor,Tmanch_Russian_Linked_Financial_Methodology.md,"$6.0M Bogatin + $98.4M South Florida purchases + $95.0M Rybolovlev + $12.0M Moscow pageant underwriting. It excludes overlaps, unquantified flows, disputed capital, prospective deals, and the separate $2.3M payout already contained within pageant economics."
RF-029,2008-2013,Identifiable gross-gain and personal-payout floor,Rybolovlev and Moscow pageant,Trump personally or controlled seller,55950000,gross spread plus personal payout,to Trump,direct,derived from RF-015 RF-021,no,no,aggregate-gain-floor,Tmanch_Russian_Linked_Financial_Methodology.md,"$53.65M mansion gross spread plus approximately $2.3M personal pageant payout. Not net after all costs, fees, or taxes."
