Claim_ID,Section,Claim,Evidence_Status,Controlling_Source,Key_Limitation
CH9-KR-001,Kremlev value transfer,"Kremlev funded major portions of Donald Trump Jr.'s May 2026 Bahamas wedding celebrations","Strongly documented and acknowledged in substance","ProPublica; couple statement","Exact complete dollar amount not publicly audited"
CH9-KR-002,Kremlev relationship,"Trump Jr. and Kremlev had a documented public relationship before the wedding","Established","IBA Sept. 29 2025 release","Promotional source does not establish private motive"
CH9-KR-003,Kremlev relationship,"IBA said the Kremlev-Trump Jr. alliance would continue through additional initiatives","Established statement","IBA Sept. 29 2025 release","Future initiatives may or may not occur"
CH9-KR-004,Provider interests,"IBA publicly sought favorable attention from President Trump regarding Olympic boxing issues before the wedding","Established public advocacy","IBA Jan. 22 2025 open letter","No public evidence gift was conditioned on this request"
CH9-KR-005,Putin proximity,"Putin awarded Kremlev the Order of Friendship in April 2026","Established by IBA public announcement","IBA Apr. 23 2026","State honor does not establish intelligence role or direct Putin control"
CH9-KR-006,Access,"Kremlev attended the small Bahamas celebration alongside Trump family members including Jared Kushner","Strongly documented","ProPublica","Attendance alone does not establish political discussion"
CH9-KR-007,Reciprocity,"The wedding hospitality purchased a U.S. official act for Kremlev or IBA","Not established","No direct public evidence","Requires communications and decision records"
CH9-KR-008,Counterevidence,"Participants characterize the relationship and gift as personal friendship unrelated to politics","Established attributed explanation","Trump Jr./Bettina/Kremlev statements","Motive cannot be resolved from statements alone"
CH9-REF-001,Refinery policy,"Trump publicly asked Ukraine to stop strikes on Russian diesel/refinery infrastructure in September 2026","Established","Reuters; AP","Request had stated global diesel-price rationale"
CH9-REF-002,Reciprocity,"Ukraine said it would support an energy ceasefire only with credible Russian reciprocity and disputed that a formal agreement already existed","Established attributed position","Reuters Sept. 14 2026","Negotiations were ongoing"
CH9-SYN-001,Family value pattern,"Russian/post-Soviet actors have repeatedly appeared as purchasers, underwriters, project partners, political intermediaries, or providers of personal value across the Trump network","Cross-chapter synthesis","Chapters 2-7 plus Kremlev records","Actors have different motives and should not be treated as one network absent evidence"
