Claim_ID,Period,Claim,Evidence_Status,Confidence_0_to_100,Primary_Source,Supporting_Evidence,Counterevidence_or_Limit,Open_Question,Additional_Record_Needed,Recommended_Wording
"CH6-2021-DEUTSCHE-001","January 2021","Deutsche Bank decided not to pursue new business with Trump after January 6.","Well-supported contemporary reporting","90","Politico and contemporary bank reporting","The decision followed years of Trump lending and the Capitol attack.","The bank continued servicing existing obligations; withdrawal was a business-risk decision, not proof of foreign leverage.","What internal risk and compliance findings drove the decision?","Credit committee minutes; reputational-risk memoranda; exit communications.","Deutsche Bank withdrew from new Trump business, increasing the importance of replacement financing."
"CH6-2021-PRA-002","2021–January 2022","Presidential records remained at Mar-a-Lago and 15 boxes were returned to NARA in January 2022.","Official government finding","99","National Archives press statements","NARA said the records should have transferred at the end of the administration.","Retention does not establish foreign access or an intent to monetize records.","Who could physically access the records before retrieval?","Visitor logs; cameras; keycard records; employee rosters; damage assessments.","NARA retrieved 15 boxes that the PRA required to have been transferred in January 2021."
"CH6-2022-DOCS-003","2022–2024","The Mar-a-Lago records situation created a counterintelligence access vulnerability.","Analytical inference based on official records","85","NARA records; federal case filings","Sensitive records were stored at a commercial club with members, guests, employees, and events.","No public evidence establishes that a foreign actor accessed a document.","Did any foreign national enter relevant storage or office areas?","Secret Service logs; club billing; security footage; FBI access analysis.","The storage of sensitive records at a commercial club created an access risk; foreign access is not publicly established."
"CH6-2024-DOCS-004","July 2024","The classified-documents case was dismissed on Special Counsel appointment grounds.","Judicial ruling","99","United States v. Trump dismissal order","The court held the appointment unconstitutional.","The ruling was not a merits determination that all records were lawfully retained or securely handled.","What factual record remains available after dismissal?","Trial exhibits; search inventories; NARA releases; damage assessments.","The case was dismissed on appointment grounds, not on a factual finding that the records were properly retained."
"CH6-2022-AXOS-005","2022","Axos supplied about $100 million tied to Trump Tower and about $125 million tied to Doral.","Well-supported documentary reporting","90","Associated Press; recorded mortgages","The loans replaced major obligations after mainstream banks withdrew.","Axos and Trump described the loans as collateralized commercial transactions.","Were underwriting or collateral exceptions granted?","Loan applications; appraisals; credit memoranda; covenants; referrals.","Axos became a major replacement lender through approximately $225 million in secured financing."
"CH6-2024-HANKEY-006","April 2024","Hankey-owned Knight Specialty supplied Trump's $175 million civil-fraud appeal bond.","Established by court filing and reporting","99","Knight court filing; Reuters","Knight said the bond was cash-backed and the company had substantial resources.","A fully collateralized bond can be an ordinary commercial transaction.","Who introduced the parties and what compensation was charged?","Bond agreement; indemnity; fee schedule; introductions; collateral account.","Knight Specialty supplied a cash-backed $175 million appeal bond."
"CH6-NETWORK-AXOS-HANKEY-007","2022–2024","The Axos and Knight transactions form a six-degrees domestic rescue network because Hankey was a major Axos shareholder.","Network inference","80","Associated Press; corporate ownership reporting","The same business figure was linked to a bank refinancing Trump assets and an insurer bonding Trump's judgment.","No public proof shows Hankey directed Axos lending or expected a political return.","Did Hankey or affiliates communicate about both transactions?","Axos board and credit records; Hankey communications; referral records.","The overlap warrants review but does not establish coordinated preferential treatment."
"CH6-2024-NYFRAUD-008","February 2024","The New York civil-fraud judgment sharply increased Trump's liquidity and bonding needs during the campaign.","Judicial finding and official enforcement record","99","New York Attorney General judgment announcement","The trial judgment exceeded $450 million with interest.","The appellate court later altered the monetary remedy; the chapter focuses on the 2024 pressure point.","How did the judgment affect borrowing, asset sales, and strategic investors?","Cash-flow forecasts; lender communications; bond solicitation records.","The judgment created an acute need for collateral, bonding capacity, and liquid financial value."
"CH6-2021-DWAC-009","2021","DWAC and TMTG merger discussions occurred before DWAC's IPO despite contrary public disclosures.","Official SEC finding","99","SEC Release 2023-135","The SEC found extensive pre-IPO discussions and a material conflict.","The settlement concerned DWAC; it did not charge Trump with fraud.","What did TMTG and Trump know about DWAC's representations?","Merger communications; board minutes; draft filings; testimony.","The SEC found that DWAC concealed material pre-IPO merger discussions with TMTG."
"CH6-2023-DWAC-010","July 2023","DWAC agreed to an $18 million penalty if the merger closed.","Official SEC settlement","99","SEC Release 2023-135","The settlement addressed antifraud disclosure violations.","The penalty did not establish TMTG criminal liability.","Who paid the economic cost after closing?","Merger closing statement; indemnities; insurance; expense allocations.","DWAC agreed to an $18 million closing-contingent penalty."
"CH6-2024-ORLANDO-011","July 2024","The SEC alleged that Patrick Orlando made false and misleading statements concerning the TMTG merger planning.","Civil allegation","95","SEC Litigation Release 26051","The complaint details Orlando's pre-IPO planning and alleged false filings.","Allegations require adjudication; they are not final findings against Trump.","What communications connected Orlando, TMTG, and Trump representatives?","SEC discovery; emails; calendars; witness transcripts.","The SEC alleged that Orlando concealed pre-IPO TMTG merger planning."
