Claim_ID,Current_Section,Exact_Claim,Relevant_Dates,People_Entities,Source_IDs,Evidence_Status,Confidence_0_to_100,Supporting_Evidence,Counterevidence_or_Limit,Recommended_Wording,Open_Record_Need
"CH2-ACCESS-001","Introduction","The Soviet approach occurred after roughly a decade of StB access through Ivana and Miloš Zelníček.","1977-1986","Donald Trump; Ivana Trump; Miloš Zelníček; StB","CH1-P08; CH1-P09; CH2-P01","Archive-supported finding","92","Chapter 1 archive reconstruction documents recurring family reporting and operational attention.","Complete StB file and transmission sheets are not yet in repository.","By 1986 Czechoslovak intelligence had monitored Trump through the family channel for roughly a decade.","Complete StB operative file; liaison distribution records"
"CH2-ACCESS-002","Section 1","A 1979 Ivana memorandum was copied to the First Directorate section responsible for illegals.","1979","Ivana Trump; StB First Directorate","CH1-P08; CH2-P01","Well-supported archival reporting","85","Guardian reporting based on StB files identifies distribution to the 23rd section.","Underlying memorandum and routing sheet not yet obtained directly.","Archive reporting indicates that the 1979 memorandum entered First Directorate illegals channels.","Security Services Archive file and folio"
"CH2-PROFILE-003","Section 2","Trump publicly suggested he could negotiate arms control with the Soviets before his Moscow trip.","1985","Donald Trump; Mike Wallace","CH2-P02","Contemporaneous audiovisual record","98","CBS preserves Wallace’s question and Trump’s response that he could do it.","Statement shows confidence and ambition, not a pro-Soviet commitment.","Trump publicly presented himself as capable of Soviet arms-control negotiation by 1985.","Full unedited 1985 interview transcript and production file"
"CH2-PROFILE-004","Section 2","Bernard Lown recalled Trump seeking a special Reagan appointment to negotiate with Gorbachev.","1986; reported 2017","Donald Trump; Bernard Lown; Ronald Reagan; Mikhail Gorbachev","CH2-P03","Retrospective first-person testimony","78","Lown supplied a detailed account consistent with Trump’s 1985 public remarks.","No contemporaneous diary, calendar, or recording located.","Lown later recalled Trump seeking a special Soviet negotiating role in 1986.","Lown papers; calendars; correspondence; Trump Organization visitor logs"
"CH2-MODEL-005","Section 2","The strongest cultivation model is spot-and-amplify rather than creation of Trump’s ambition.","1985-1987","Donald Trump; Soviet diplomatic officials","CH2-P02; CH2-P03; CH2-P04","Analytical inference","90","Ambition and negotiator self-conception predate Soviet trip.","Exact Soviet assessment file is unavailable.","Soviet officials approached a target whose ambition and self-conception were already publicly visible.","KGB target assessment; embassy reporting"
"CH2-DUBININ-006","Section 3","Dubinin’s flattering approach to Trump was deliberate.","1986","Yuri Dubinin; Donald Trump; Natalia Dubinina","CH2-P04","Retrospective witness account plus Trump’s own business account","86","Dubinin family accounts describe a calculated approach; Trump confirms contact led to proposal.","No Soviet tasking cable located.","Later accounts describe Dubinin’s praise and approach as calculated cultivation.","Soviet embassy cable; Dubinin papers; Lauder calendar"
"CH2-CHURKIN-007","Section 3","Vitaly Churkin helped coordinate Trump’s first Soviet visit.","1986-1987","Vitaly Churkin; Yuri Dubinin; Donald Trump","CH2-P04","Well-supported documentary reporting","82","Multiple historical accounts identify Churkin in arrangements.","Original diplomatic correspondence not yet obtained.","Contemporary Soviet diplomatic personnel, including Churkin, helped arrange the visit.","Russian Foreign Ministry archive; embassy correspondence"
"CH2-INTOURIST-008","Section 4","Intourist placed Trump inside a Soviet-controlled monitoring and assessment environment.","July 1987","Donald Trump; Ivana Trump; Intourist; KGB","CH2-P05; CH2-P06","Institutional historical finding","95","Defector and intelligence histories describe Intourist’s integration with state security.","No Trump-specific guide or surveillance report is public.","The Intourist visit necessarily placed Trump inside a Soviet-controlled security environment suitable for assessment.","Intourist visitor file; guide reports; hotel security logs"
"CH2-KRYUCHKOV-009","Section 4","KGB leadership directed officers to cultivate prominent Western political and business figures using flattery and incentives.","1984-1985","Vladimir Kryuchkov; KGB First Chief Directorate","CH2-P06","Published intelligence-document evidence","92","Gordievsky/Andrew publication reproduces or summarizes the directive.","Original archival scan not located in repository.","A contemporaneous KGB directive encouraged personality-based cultivation of influential Western figures.","Original directive and Russian archival citation"
"CH2-TRIP-010","Section 4","Trump visited Moscow and Leningrad as a Soviet guest to examine a hotel project.","July 1987","Donald Trump; Ivana Trump; Intourist","CH2-P04; CH2-P05","Established by participant account and reporting","99","Trump described trip and project; numerous contemporary and archival sources corroborate.","Complete itinerary and participants remain unknown.","Trump traveled at Soviet invitation to assess a state-linked hotel proposal.","Visa file; itinerary; meeting memoranda"
"CH2-KOMPROMAT-011","Section 4","The trip created an opportunity for Soviet surveillance and kompromat collection.","July 1987","Donald Trump; Soviet security services","CH2-P05; CH2-P06","Historical inference from controlled environment","82","Important foreign visitors were routinely monitored in Soviet hotels and travel systems.","No specific compromising incident or product is public.","The visit created a standard Soviet surveillance and leverage-collection opportunity; no specific kompromat is publicly established.","Hotel surveillance log; operational assessment; audio/video inventory"
"CH2-ADS-012","Section 5","Trump spent $94,801 on national foreign-policy advertisements within weeks of the Moscow trip.","September 2 1987","Donald Trump; Washington Post; New York Times; Boston Globe","CH2-P07","Contemporaneous press record","99","Washington Post contemporaneously reported cost, placement, and message.","Timing alone does not establish Soviet causation.","Within weeks of returning, Trump spent $94,801 promoting a national defense and alliance message.","Invoices; cancelled checks; Trump Organization ledger"
"CH2-ADS-013","Section 5","The advertisements attacked allied burden-sharing and advanced themes beneficial to Soviet alliance-fracture goals.","September 1987","Donald Trump; Japan; Western Europe; Saudi Arabia","CH2-P07; CH2-P08","Established content plus analytical comparison","92","Ad text and contemporary coverage establish themes; Soviet strategic benefit is well understood.","Similar ideas existed in domestic trade and conservative debates.","The ads advanced domestically rooted themes whose practical effect also aligned with Soviet interests in alliance division.","Full ad; drafts; policy memos; Soviet reaction reporting"
"CH2-ADS-014","Section 5","Trump wrote the advertisement, with presentation help from Reagan-linked political consultants.","1987","Donald Trump; Tuesday Team advisers","CH2-P07","Contemporaneous reporting","91","Washington Post reported Trump’s authorship claim and consultant involvement.","Underlying drafts and consultant files not reviewed.","Contemporaneous reporting attributes the message to Trump and the presentation to U.S. political advisers.","Drafts; consultant files; correspondence"
"CH2-NH-015","Section 5","The Portsmouth speech was a candidate-style political activation event.","October 22 1987","Donald Trump; Mike Dunbar; Portsmouth Rotary Club","CH2-P09; CH2-P10","Contemporaneous reporting","97","LA Times reported stump-style speech, crowd, and denials; Draft Trump effort documented.","Book promotion supplied a conventional commercial motive.","Trump tested a national political message in New Hampshire while denying a candidacy.","Full recording; transcript; Dunbar correspondence"
"CH2-CAUSAL-016","Section 5","The Moscow trip caused or amplified Trump’s 1987 political activity.","July-October 1987","Donald Trump; Soviet officials","CH2-P04; CH2-P07; CH2-P09","Analytical inference","72","Tight sequence, targeted flattery, political themes, and later witness accounts support amplification.","Political ambition predated trip; book launch and domestic advisers are alternative causes.","The sequence supports amplification following cultivation but does not establish Soviet direction.","Soviet assessment; Trump drafts; calendars; communications"
"CH2-COHN-017","Section 6","Roy Cohn simultaneously represented Trump and organized-crime figures including Anthony Salerno.","1970s-1980s","Roy Cohn; Donald Trump; Anthony Salerno","CH2-P11; CH2-P12","Court and professional-record evidence","96","Court briefs and disciplinary records document roles.","Shared counsel alone does not prove a criminal agreement.","Cohn served as a documented bridge across Trump’s business, politics, media, and organized-crime circles.","Cohn papers; billing records; appointment books"
"CH2-COHN-018","Section 6","Cohn was disbarred for conduct involving dishonesty, fraud, deceit, and misrepresentation.","1986","Roy Cohn","CH2-P12","Official adjudicatory finding","99","New York disciplinary decision.","Disbarment did not adjudicate Trump’s conduct.","Cohn’s professional misconduct was formally adjudicated and is relevant to the reliability of the intermediary.","Complete disciplinary record"
"CH2-SA-019","Section 6","S&A Concrete entities were instruments of the Manhattan concrete cartel conspiracy.","1980s; adjudicated later","S&A Concrete; Salerno; Castellano; concrete Club","CH2-P13","Judicial finding","99","Second Circuit describes special verdict and preclusive cartel findings.","Decision does not hold Trump criminally liable.","S&A entities used on Trump Tower were later judicially identified as instruments of the concrete cartel conspiracy.","Trump Tower contract; invoices; procurement file"
"CH2-CODY-020","Section 6","John Cody and Local 282 exercised leverage over Trump Tower material deliveries.","1981-1982","John Cody; Local 282; Trump Tower","CH2-P14","Well-supported investigative reporting","86","Reporting draws on FBI and court material concerning delivery control.","Complete primary file and final investigative disposition unavailable.","Local 282’s delivery power and Cody’s relationship with the project created a documented leverage point.","FBI Cody file; Local 282 case exhibits; delivery logs"
"CH2-CODY-021","Section 6","An apartment benefit was connected to a woman associated with Cody.","1982","John Cody; associated woman; Trump entity","CH2-P14","Documentary reporting; primary record needed","72","Investigative reporting describes subpoenas and apartment arrangement.","True beneficiary, consideration, and quid pro quo remain unresolved.","Investigators examined an apartment transaction involving a Cody associate; the complete closing and case record is needed.","Deed; closing file; subpoena returns; trial exhibits"
"CH2-BOGATIN-022","Section 7","David Bogatin purchased five Trump Tower units for nearly $6 million.","1984","David Bogatin; Trump Tower","CH2-P15; CH2-P16","Contemporaneous and legal record","98","Law-enforcement reporting and court context establish transaction.","Exact closing documents and source-of-funds trail not yet obtained.","Bogatin placed nearly $6 million into five Trump Tower units in 1984.","ACRIS deeds; closing ledger; title file; bank records"
"CH2-BOGATIN-023","Section 7","Bogatin was a central participant in a multimillion-dollar gasoline-tax scheme and pleaded guilty.","1980s; plea 1987","David Bogatin","CH2-P15; CH2-P16","Criminal disposition and contemporaneous reporting","98","State prosecution and extradition reporting establish guilt and scale.","Later organized-crime associations require separate proof.","Bogatin pleaded guilty in a major gasoline-tax fraud matter.","Complete indictment; plea; sentencing; extradition file"
"CH2-BOGATIN-024","Section 7","Authorities seized the Trump Tower units as assets used to launder or conceal proceeds.","late 1980s-1992","David Bogatin; New York authorities","CH2-P16","Well-supported law-enforcement reporting","88","Multiple reports quote or describe the forfeiture rationale.","Complete forfeiture order and asset schedule not yet located.","The units were seized, with authorities describing them as vehicles for concealing criminal proceeds.","Forfeiture complaint; judgment; asset schedule"
"CH2-WEICH-025","Section 8","Weichselbaum’s federal indictment did not terminate Trump-related aviation, property, or personal-support ties.","1985-1990","Joseph Weichselbaum; Damin Aviation; Donald Trump","CH2-P17; CH2-P18; CH2-P19","Court and regulator-document evidence","96","Indictment, lease, business relationship, sentencing letter, and DGE questioning are documented.","Exact knowledge within each Trump entity and contract date require reconstruction.","Trump-related business and personal ties continued after a pathway existed to know of the indictment.","Contracts; invoices; DGE vendor file; internal communications"
"CH2-WEICH-026","Section 8","Trump wrote a sentencing letter calling Weichselbaum a credit to the community.","December 1986; sentencing 1987","Donald Trump; Joseph Weichselbaum","CH2-P18; CH2-P19","Primary document reproduced in regulator archive","99","Letter and DGE interview are reproduced.","Motivation for letter is not established.","Trump personally vouched for Weichselbaum before sentencing.","Original court filing and defense sentencing package"
"CH2-WEICH-027","Section 8","Weichselbaum’s girlfriend’s Trump Tower purchase may have been hush money or payback.","1987-1989","Joseph Weichselbaum; Ronee Teitler; Trump Tower","CH2-P18","Unverified hypothesis","25","Timing and later residence create a question.","No evidence presently establishes Trump funded, discounted, directed, or benefited the purchase.","The purchase presents beneficial-ownership and source-of-funds questions; no hush-money conclusion is presently established.","Deeds; closing file; purchaser bank records; seller identity"
"CH2-DAMIN-028","Section 8","Damin was a large executive-helicopter operator with related-party leasing structures.","1984-1989","Damin Aviation; Franklin Weichselbaum; related partnerships","CH2-P17","Federal judicial finding","99","Damin v. Sikorsky states fleet size, ownership, partnerships, and leasing facts.","Opinion concerns product liability rather than narcotics or casino compliance.","A federal opinion independently documents Damin’s scale and related-party aircraft structure.","Corporate filings; FAA ownership; lease schedules"
"CH2-AML-029","Section 9","Taj Mahal failed to file required casino currency reports during April 1990-December 1991.","1990-1991; penalty 1998","Trump Taj Mahal Associates; IRS; FinCEN","CH2-P20","Official enforcement finding","100","FinCEN announcement specifies violation type and date range.","FinCEN also noted cooperation and otherwise laudable BSA program; transactions are not individually identified.","FinCEN documented opening-period currency-reporting failures without attributing every transaction to criminal money.","IRS examination workpapers; CTRC list; settlement records"
"CH2-SLUS-030","Section 10","A Slušovice delegation met Trump in 1989 and the interaction was reported by an StB collaborator.","October 10 1989","Donald Trump; Slušovice; Al Jarda/Jarosláv Jansa","CH2-P21","Archive-supported finding","92","Guardian reports directly from StB files.","Underlying report not yet in repository.","The StB monitored direct institutional contact between Trump and Slušovice representatives.","StB report; delegation records; Trump calendar"
"CH2-SLUS-031","Section 10","Trump visited Slušovice operations in November 1990.","November 1990","Donald Trump; František Čuba; Slušovice","CH2-P22","Participant and archive-supported reporting","90","Čuba account and archival reconstruction support visit.","Purpose included Miloš’s funeral and occurred amid regime transition.","Trump’s 1990 Czechoslovak trip included direct exposure to Slušovice operations.","Flight logs; itinerary; photographs; cooperative records"
"CH2-FIN-032","Section 11","Soviet and Czechoslovak services observed Trump as his leverage and liquidity risks developed.","1977-1990","Donald Trump; StB; Soviet officials; banks","CH2-P01; CH2-P23","Documented chronology plus analytical inference","88","Access persisted through the expansion and approaching crisis.","No public record proves the services possessed complete private financial data.","The services had recurring opportunities to observe the formation of reputational and financial vulnerabilities.","StB financial reports; KGB assessment; bank and credit files"
"CH2-SOVFIN-033","Section 11","Soviet money financed Trump’s 1980s expansion.","1977-1990","Trump entities; Soviet actors","","Insufficient public evidence","15","No reliable transaction-level evidence located.","Mainstream bank loans, family backing, and project finance explain known funding.","No public evidence presently establishes Soviet financing of the 1980s expansion.","Loan syndication; investor ledgers; beneficial owners"
"CH2-FORMAL-034","Integrated assessment","Trump was formally recruited or controlled by the KGB in 1987.","1987 onward","Donald Trump; KGB","CH2-P06; CH2-P24","Unresolved allegation","35","Cultivation environment, Shvets account, and later behavioral continuity support investigation.","No recruitment agreement, operational file, payment, tasking, or handling record is public.","The record supports deliberate assessment and cultivation; formal recruitment or control remains unproven.","KGB operational file; agent registry; handler reports"
"CH2-SYNTH-035","Integrated assessment","Multiple independent channels created susceptibility even without one coordinated conspiracy.","1977-1990","Trump; StB; Soviet diplomats; Cohn; organized crime; Bogatin; Weichselbaum","CH2-P01 through CH2-P23","Analytical synthesis","94","Independent records establish intelligence access, cultivation, criminal exposure, suspect capital, and financial vulnerability.","Convergence does not prove central coordination.","The historical pattern is best described as converging access and leverage systems around a susceptible target.","Cross-file network and chronology analysis"
