Claim_ID,Current_Section,Exact_Claim,Relevant_Dates,People_and_Entities,Source_Tier,Evidence_Status,Confidence_0_to_100,Supporting_Evidence,Counterevidence_or_Limit,Recommended_Wording,Open_Question,Additional_Record_Needed
"CH3-1990-BANK-WORKOUT-001","Immediate rescue","Domestic banks and bondholders were the principal mechanism preventing immediate collapse.","1990-1993","Donald Trump; Citibank; Bankers Trust; Chase; creditor committee","A/B","Established by SEC bankruptcy and documentary records",95,"Coordinated creditor workout; restructurings; equity concessions; asset sales; limited new credit.","Exact allocation of each bank's exposure and concessions remains incomplete.","Domestic creditors and bondholders supplied the decisive immediate survival mechanism.","Which lenders bore the largest economic losses and what side agreements preserved Trump control?","Workout agreements; bank committee minutes; loan schedules; personal guarantee releases."
"CH3-1992-PLAZA-RESTRUCTURE-002","Immediate rescue","Trump Plaza principal was reduced and maturity extended in the 1992 restructuring.","1991-1993","Trump Plaza Associates; Plaza Funding; bondholders","A","Established by SEC filing",99,"SEC records principal reduction from $250m to $225m; rate reduction; maturity extension; stock units.","SEC filing summarizes rather than reproduces the full plan.","The 1992 Plaza restructuring reduced principal, extended maturity, lowered interest, and gave bondholders equity-linked value.","What rights and controls did the stock units and managing partner structure confer?","Chapter 11 plan; disclosure statement; partnership agreement; bond indenture."
"CH3-1990-TAJ-BSA-003","Casino controls","Taj Mahal failed to file required casino currency reports during its opening period.","1990-1991","Trump Taj Mahal Associates; IRS; FinCEN","A","Official government enforcement finding",99,"FinCEN violation period April 1990 through December 1991; $477,000 settlement.","FinCEN also described otherwise laudable compliance and cooperation; customers unidentified.","Opening-period CTR failures created a documented cash-reporting vulnerability.","Which customers and transactions generated the missed reports?","IRS examination workpapers; FinCEN case file; CTR exception logs; casino cage records."
"CH3-1994-RIVERSIDE-004","Foreign asset rescue","Hong Kong-led investors rescued Riverside South by addressing debt and financing development.","1994 onward","Henry Cheng; Vincent Lo; Polylinks; Chase; Trump entities","A/B","Well-supported contemporaneous reporting; transaction records needed",90,"Contemporaneous UPI and later transaction reporting describe financing, debt assumption, and retained Trump minority role.","Exact capital contributions and profit waterfall require agreements.","Asian investors removed a major development burden while leaving Trump a minority profit and management position.","Were there side letters, guaranteed fees, or reciprocal investments?","Partnership agreement; debt purchase; management agreement; capital ledger; beneficial ownership."
"CH3-1995-PLAZA-SALE-005","Foreign asset rescue","Saudi and Singaporean investors acquired control of the Plaza as part of a creditor-driven exit.","1994-1995","Prince Alwaleed; CDL/Kwek; Citibank group; Donald Trump","A/B","Established transaction; full agreements outstanding",95,"American Banker and contemporaneous reports identify $325m valuation, mortgage support, renovation obligation, diminished Trump role.","Precise retained percentage and later rights vary among reports.","The Plaza transaction removed liability and preserved only limited Trump participation.","What management, condominium-development, or future-deal rights survived?","Purchase agreement; mortgage modification; management agreement; partnership records."
"CH3-1995-THCR-OFFERING-006","Public recapitalization","THCR raised $140m equity and $155m secured debt in 1995.","1995","THCR; public shareholders; bond investors; Donald Trump","A","Established by SEC filing",99,"SEC filing states 10m shares at $14 and $155m 15.5% notes.","Use-of-proceeds allocations require prospectus detail.","Public investors became a major source of casino recovery capital in 1995.","How much value flowed to Trump personally or to privately controlled entities?","Prospectus; underwriting agreement; contribution agreement; funds-flow memorandum."
"CH3-1996-TAJ-CAPITAL-007","Public recapitalization","The 1996 Taj transaction raised $386.1m equity and $1.2b mortgage debt.","1996","THCR; Trump AC; public investors; underwriters","A","Established by SEC filing",99,"SEC 10-K records 13.25m shares and $1.2b notes.","Does not establish that the capital structure was prudent or fraudulent.","The Taj acquisition was financed overwhelmingly through public equity and high-yield mortgage debt.","Which obligations, guarantees, and private interests were released or paid?","Prospectus; closing statement; lien-release schedule; underwriter files."
"CH3-1996-CASTLE-TRANSFER-008","Related-party transaction","Trump received interests convertible into 5,837,700 THCR shares for Castle interests valued at $168.126m.","1996","Donald Trump; TCI-II; THCR; Castle Associates","A","Established by SEC filing",99,"SEC accounting and transaction description.","Valuation was contested; final litigation outcome not yet located.","Trump transferred Castle interests into THCR and received publicly convertible value while increasing his beneficial position.","Was the appraisal fair and independent?","Fairness opinion; appraisal; board minutes; special committee files; final court disposition."
"CH3-1996-CASTLE-SELFDEAL-009","Related-party transaction","Shareholders alleged excessive price and self-dealing in the Castle acquisition.","1996-1997","THCR shareholders; directors; Trump; Salomon Brothers","A","Civil allegation not adjudicated in located record",85,"SEC filing describes consolidated derivative complaints and specific allegations.","Company denied claims; disposition required before stating liability.","Shareholder suits alleged excessive self-dealing and misleading proxy disclosures; the allegation must not be presented as a final finding.","How were the cases resolved?","SDNY docket 96 Civ. 7820; Delaware dockets 15148/15160; settlement or dismissal orders."
"CH3-1996-PUBLIC-RISK-010","Public recapitalization","The public-company structure shifted substantial downside to shareholders and bondholders while preserving Trump control.","1995-2000","THCR; shareholders; bondholders; Donald Trump","A","Analytical inference strongly supported by SEC records",94,"Public offerings, retained voting interests, related-party transfer, stock decline, recurring debt.","External capital also legitimately financed operations; not proof of unlawful extraction.","THCR externalized substantial capital risk while preserving Trump’s brand, voting power, and economic interest.","What were investor returns and Trump compensation over the same period?","Annual reports; proxy statements; stock and bond total-return series; compensation records."
