Claim_ID,Current_File,Current_Section,Exact_Claim,Relevant_Dates,People,Entities,Source_IDs,Evidence_Status,Confidence_0_to_100,Supporting_Evidence,Counterevidence,Alternative_Explanation,Recommended_Wording,Open_Question,Additional_Record_Needed
CH4-BUSINESS-MODEL-001,Tmanch_CH4.md,Introduction,"Trump increasingly used licensing, management, minority equity, and personal guarantees while partners supplied most development capital and risk.",2001-2014,Donald Trump,Trump Organization,PS4-001;PS4-008;PS4-012,Established by contracts and litigation summaries,94,"Project structures, loan records, and litigation distinguish licensor/manager from principal developer.",Trump still contributed substantial brand value and sometimes guarantees or equity.,A conventional asset-light licensing strategy.,"Trump increasingly operated through an asset-light brand-and-management platform financed largely by outside developers, lenders, investors, and purchasers.",What were the exact economics for every project?,Executed licenses; management agreements; capital accounts; fee ledgers
CH4-BAYROCK-OFFICE-002,Tmanch_CH4.md,Bayrock,"Bayrock operated from the 24th floor of Trump Tower close to Trump Organization offices.",2001-2010,Tevfik Arif;Felix Sater,Bayrock;Trump Tower,PS4-001;PS4-002,Well-supported documentary evidence,92,"Court filings and contemporaneous reporting place Bayrock in Trump Tower.",Office proximity alone does not prove control or complete knowledge.,Convenient commercial tenancy and networking.,"Bayrock’s Trump Tower office created sustained physical access to the Trump Organization.",Who had access and how frequently?,Lease; visitor logs; telephone records; calendars; security records
CH4-BAYROCK-ENTITY-TIERS-003,Tmanch_CH4.md,Bayrock,"Bayrock used separately owned project LLCs under common control.",2001-2010,Tevfik Arif;Felix Sater,Bayrock entities,PS4-001,Established by federal-court record,96,"Kriss opinion identifies multiple project-specific entities and ownership distinctions.",Common control does not mean identical ownership or funds flow.,Ordinary real-estate special-purpose entities.,"Bayrock’s layered project entities require entity-by-entity ownership and funds tracing.",Who owned each tier and account?,Operating agreements; membership ledgers; tax returns; bank accounts
CH4-SATER-RICO-004,Tmanch_CH4.md,Sater,"Felix Sater pleaded guilty in 1998 to racketeering involving securities fraud and organized-crime families.",1998,Felix Sater,United States,PS4-002,Established by judicial record,100,"Second Circuit describes the plea and enterprise.",The conviction does not prove every later transaction was criminal.,Past offense separate from later work.,"Sater’s racketeering conviction is established and material to partner due diligence.",When did counterparties learn it?,Plea; allocution; sentencing; diligence files
CH4-SATER-COOPERATION-005,Tmanch_CH4.md,Sater,"Sater secretly cooperated with federal authorities for more than a decade and supplied foreign intelligence.",1998-2012,Felix Sater,FBI;DOJ,PS4-002,Established by judicial record,99,"Second Circuit describes long cooperation and valuable foreign intelligence.",Cooperation scope remains sealed or redacted; it does not prove tasking in Bayrock deals.,Independent private activity while cooperating.,"Sater was simultaneously a convicted racketeering participant and a long-running federal cooperator.",Was any Bayrock or Trump work tasked or reported?,Cooperation agreements; 5K materials; tasking records; debriefs
CH4-TRUMP-SATER-KNOWLEDGE-006,Tmanch_CH4.md,Sater,"Trump knew Sater’s complete criminal history throughout their partnership.",2003-2010,Donald Trump;Felix Sater,Trump Organization;Bayrock,PS4-002;PS4-003,Contested,55,"Repeated meetings and project work make total unfamiliarity implausible.",Criminal and cooperation records were sealed; witnesses dispute timing of disclosure.,Trump may have known Sater socially and commercially before learning details.,"Trump’s relationship with Sater is established; the timing and extent of Trump’s knowledge of Sater’s criminal and cooperation history remain unresolved.",What was disclosed in diligence or meetings?,Calendars; emails; diligence files; deposition exhibits
CH4-SOHO-STRUCTURE-007,Tmanch_CH4.md,Trump SoHo,"Trump SoHo paired Bayrock and Sapir development capital with Trump licensing, marketing, management, and an economic interest.",2005-2014,Donald Trump;Tevfik Arif;Tamir Sapir;Felix Sater,Bayrock;Sapir Organization;Trump Organization,PS4-001;PS4-004,Strong documentary evidence,92,"Court records and project reporting identify the roles.",Exact equity percentages and fee terms require executed agreements.,Normal branded hotel-condominium joint venture.,"Trump SoHo exemplified the outside-capital/Trump-brand model.",What did each party contribute and receive?,JV agreement; license; management agreement; capital accounts
CH4-ISTAR-DEBT-008,Tmanch_CH4.md,Trump SoHo,"Trump SoHo obtained approximately $275 million in iStar financing.",2006-2010,Tevfik Arif;Felix Sater,iStar;Bayrock Spring Street,PS4-001,Civil allegation requiring loan verification,72,"Kriss litigation recites the financing allegation.",Executed loan and recorded mortgage not yet in repository.,Conventional construction financing.,"Court pleadings report approximately $275 million in iStar financing; the executed loan documents should control.",What were covenants and draw conditions?,Mortgage; loan agreement; guarantees; draw schedules
CH4-FLGROUP-50M-009,Tmanch_CH4.md,FL Group,"FL Group invested $50 million in four Bayrock projects and announced a global 50:50 joint venture.",2007,Tevfik Arif;Felix Sater,FL Group;Bayrock,PS4-003,Established by contemporaneous investor announcement,99,"FL Group names the amount, projects, adviser, and global JV.",Announcement does not show allocation, final funding, or ultimate beneficial owners.,Institutional real-estate investment.,"FL Group publicly committed $50 million across four Bayrock projects and a global joint venture.",How much reached each project?,Investment agreements; wires; bank statements; allocation schedules
CH4-FLGROUP-62PCT-010,Tmanch_CH4.md,FL Group,"FL Group obtained rights to 62% of projected profits through a transaction sometimes documented as a loan.",2007,Tevfik Arif;Felix Sater;Jody Kriss,FL Group;Bayrock,PS4-001,Civil allegation not adjudicated,68,"Kriss opinion summarizes plaintiffs’ allegations and projected profits.",Pleading-stage acceptance is not merits finding; case settled.,Complex preferred investment or mezzanine structure.,"Plaintiffs alleged that FL Group’s $50 million obtained rights equivalent to 62% of projected profits and was inconsistently characterized; the merits were not adjudicated.",What did executed documents say?,Investment contract; tax opinions; side letters; accounting entries
