Event_ID,Date_or_Range,Category,Original_Ledger_Item,Reconciliation_Status,Corrected_Finding,Russia_Benefit_0_to_5,Ukraine_Allied_Cost_0_to_5,Russian_Reception,Primary_or_Best_Source,Missing_Record
J20-001,2025-01-20/24,Foreign aid,"Foreign aid freeze including $16.4B Ukraine aid","Verified event; figure rejected","Development and humanitarian aid was paused; Pentagon initially said Ukraine military security assistance was outside the order. The $16.4B figure was not substantiated.",2,3,"RT framed the pause as a suspension of aid to Ukraine; Russian officials welcomed USAID retrenchment.",https://www.whitehouse.gov/presidential-actions/2025/01/reevaluating-and-realigning-united-states-foreign-aid/,Program-level Ukraine award and waiver list
J20-002,2025-01-22,Institutional staffing,"NSC purge removing 160 Russia/Ukraine policy officials","Verified with scope correction","About 160 NSC staff were sidelined for review; public evidence does not show all held Russia/Ukraine portfolios.",2,2,"RIA reported the removal as part of Trump’s institutional reset.",https://www.pbs.org/newshour/politics/trump-national-security-adviser-sidelined-about-160-white-house-staffers,Portfolio and personnel list
J20-003,2025-01-24 onward,Oversight,"Inspectors general and senior officials removed","Verified; context rather than direct concession","Oversight and institutional continuity were reduced across agencies; Russia-specific effect requires office-level analysis.",1,2,"Russian commentary generally framed removals as dismantling the U.S. deep state.",https://www.reuters.com/world/us/trump-fires-17-independent-watchdogs-government-agencies-source-says-2025-01-25/,Removal memoranda and affected Russia-related audits
J20-004,2025-02/07,Soft power,"Dismantling USAID ending pro-democracy programs","Verified and promoted","Most USAID programs were terminated or transferred, including Ukrainian resilience, media, energy, anti-corruption and civil-society programs.",4,4,"Volodin called USAID a criminal interference network; Russian outlets highlighted losses in former Soviet states.",https://oig.usaid.gov/node/7848,Complete Ukraine program disposition and outcome data
J20-005,2025-02-05,Enforcement,"Disband Foreign Influence Task Force and KleptoCapture","Verified and promoted","DOJ ended dedicated foreign-influence, oligarch-asset and kleptocracy structures while narrowing criminal FARA policy.",5,3,"TASS and RIA immediately highlighted the closures as ending anti-Russian programs.",https://www.justice.gov/ag/select-publications,Case inventory before and after disbandment
J20-006,2025-02-12,Personnel,"Install Gabbard as DNI","Date corrected; personnel-risk thread","Gabbard was confirmed February 12. Appointment itself is not a concession; later threat assessments, clearances and restructuring are the evidentiary test.",2,2,"Russian media repeatedly amplified Gabbard’s skepticism toward NATO/EU threat narratives.",https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00052.htm,Briefing, staffing and analytic-product changes
J20-007,2025-02-20,Personnel,"Install Patel as FBI director","Verified; personnel-risk thread","Patel’s appointment created independence and Russia-investigation concerns; later operational decisions must establish effect.",2,2,"Pushkov said Patel’s confirmation reinforced the view that the Russia probe was fabricated.",https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00077.htm,Russia-related FBI case and staffing changes
J20-008,2025-02-11/12,Prisoner exchange,"Release Vinnik for Fogel","Verified and promoted","Fogel’s release was paired with return of convicted crypto figure Alexander Vinnik; legitimate hostage diplomacy delivered material reciprocal value.",3,0,"TASS and Vinnik’s lawyer described a thaw and restored mutual trust.",https://www.reuters.com/world/us-russian-crypto-kingpin-vinnik-be-released-exchange-fogel-us-official-says-2025-02-12/,Full exchange terms and any side commitments
J20-009,2025-02-13,Diplomatic status,"Propose Russia rejoin G7 without conditions","Verified proposal; not implemented","Trump advocated Russia’s readmission and called exclusion a mistake; allies did not implement it.",3,1,"Russian outlets treated the proposal as restoration of great-power status.",https://www.reuters.com/world/trump-says-russia-should-be-reinstated-g7-2025-02-13/,Policy papers and allied communications
J20-010,2025-02-17/19,Diplomacy,"U.S.-Russia talks excluding Ukraine","Verified and promoted","Russia received early bilateral agenda access before Ukraine and Europe joined that channel.",4,3,"Russian officials portrayed the talks as restoration of equal-power diplomacy.",https://history.state.gov/departmenthistory/travels/secretary/rubio-marco,Meeting notes and proposed concessions
