Claim_ID,Period,Claim,Evidence_Classification,Confidence,Primary_Source_IDs,Current_Assessment,Counterevidence_or_Qualification,Recommended_Wording,Open_Records
CH7-BASE-001,2025-02,"Mike Waltz, not Richard Grenell, served as National Security Advisor during the administration's opening Russia-Ukraine diplomacy.",Established by official record,High,CH7-P001; CH7-P005,The old chapter was factually wrong.,Waltz later left the role and was confirmed as U.N. ambassador; Rubio later held the NSA role.,Mike Waltz served as National Security Advisor during the February-March 2025 opening diplomacy.,White House appointment and departure instruments; transition records.
CH7-BASE-002,2025-03-04,"Trump's joint address to Congress occurred March 4, 2025, not February 28.",Established by official audiovisual record,High,CH7-P002,The old chapter conflated the address with the February 28 Zelenskyy meeting.,None material.,"Trump addressed a joint session of Congress on March 4, 2025.",None.
CH7-DIP-001,2025-02-11,The Marc Fogel exchange demonstrated early direct U.S.-Russia engagement and gave Special Envoy Steve Witkoff access to Russian decision-makers.,Event established; access inference,High/Moderate,CH7-P001,Release and travel are established; the breadth and terms of access are not public.,Prisoner exchanges are normal diplomacy and do not imply improper influence.,The exchange was a genuine diplomatic achievement and an early channel of direct engagement.,Exchange terms; diplomatic notes; travel and security records; reciprocal commitments.
CH7-DIP-002,2025-02-17/19,Senior U.S. and Russian officials met in Riyadh before Ukraine participated in the negotiating process.,Established by official travel record,High,CH7-P005,The bilateral meeting is established; exact commitments are not.,Opening an adversary channel without all parties present can be a legitimate preliminary diplomatic step.,The United States opened bilateral talks with Russia in Riyadh without Ukrainian participation in that meeting.,"State cables, memoranda of conversation, briefing books, attendee notes, proposed terms."
CH7-UN-001,2025-02-24,The United States voted against a General Assembly resolution centered on Ukrainian territorial integrity and a just peace.,Established by official U.N. record,High,CH7-P006,The vote is established and represented a major change in U.S. diplomatic posture.,The United States supported a separate resolution calling for an end to the conflict; the vote did not recognize Russian annexations.,The United States opposed the Ukraine- and Europe-backed General Assembly resolution while advancing a shorter alternative.,"State Department voting instructions, legal analysis, and interagency decision memoranda."
CH7-UN-002,2025-02-24,"Security Council Resolution 2774 omitted explicit references to Russian aggression, Ukrainian sovereignty, and territorial integrity after Russia vetoed proposed amendments.",Established by official U.N. record,High,CH7-P007; CH7-P008,The altered framing objectively benefited Moscow diplomatically.,A concise ceasefire-focused resolution can be defended as an effort to create consensus; benefit does not prove control.,The U.S.-sponsored resolution reduced condemnatory language and was welcomed by Russia.,U.S. drafting history; negotiating instructions; communications with Russia and European allies.
CH7-UN-003,2025-02-24,Russia publicly welcomed the change in the U.S. position.,Attributed official statement,High,CH7-P007,"Relevant evidence of perceived benefit, not proof of causation.",Russian approval may be opportunistic propaganda.,Russia's representative welcomed the change in Washington's position.,None needed for the attributed statement; assess internal Russian records if ever released.
CH7-UKR-001,2025-02-28,Trump and Vance publicly confronted Zelenskyy in the Oval Office.,Established by audiovisual record,High,CH7-P009,The confrontation and rhetoric are directly observable.,Public exchange does not reveal the full preceding negotiations or each party's private conduct.,"The meeting became a public confrontation over gratitude, bargaining posture, and the war.",Private meeting notes; planned minerals agreement; diplomatic readouts.
CH7-UKR-002,2025-03,The United States paused military assistance and intelligence sharing to Ukraine after the Oval Office confrontation.,Officially acknowledged by restoration statement; independently corroborated,High,CH7-P010; CH7-B001,The sequence is established; full scope and rationale remain nonpublic.,Administration characterized the measures as negotiation leverage and capability review rather than abandonment.,"The administration temporarily suspended support; the exact directive, scope, and battlefield effects remain undisclosed.","Signed directives, legal authorities, affected systems/items, agency tasking, risk assessments."
CH7-UKR-003,2025-03-11,"Ukraine accepted a U.S. proposal for an interim 30-day ceasefire contingent on Russian reciprocity, and the United States immediately restored aid and intelligence sharing.",Established by jointly attributed official statement,High,CH7-P010; CH7-B001,Demonstrates conditional use of support and Ukrainian acceptance of the proposal.,Restoration improved Ukraine's position and shifted the public burden to Russia.,"Ukraine accepted the conditional ceasefire proposal, after which the United States restored support.",Complete negotiating minutes and any side understandings.
CH7-UKR-004,2025-03-19,"Trump and Zelenskyy discussed a partial halt to attacks on energy infrastructure, air defense, humanitarian exchanges, and U.S. involvement with Ukrainian energy facilities.",Official executive readout,Moderate/High,CH7-P011,Established as the U.S. public account of the call.,Needs comparison with Ukrainian readout; does not prove Russian compliance.,"According to the White House readout, the leaders discussed these subjects.","Ukrainian readout, call memorandum, implementation monitoring."
CH7-BS-001,2025-03-25,"The U.S.-Russia Black Sea statement committed the United States to facilitate Russian agricultural and fertilizer market access, insurance, ports, and payment systems.",Established by official executive statement,High,CH7-P012,A concrete contemplated benefit to Russia before a comprehensive settlement.,Agricultural trade measures can be framed as global food-security steps or negotiation inducements; sanctions implementation details matter.,The United States publicly committed to help restore specified Russian commercial access as part of the Black Sea process.,"Option papers, legal authorities, benefit valuation, reciprocity matrix, implementation records."
CH7-BS-002,2025-03-25,The parallel U.S.-Ukraine statement did not contain a comparable market-access concession.,Comparative documentary finding,High,CH7-P012; CH7-P013,The published statements are asymmetrical in this respect.,Ukraine may have received military/security benefits outside the text; published summaries are incomplete.,The public U.S.-Russia statement included economic-access assistance absent from the public U.S.-Ukraine statement.,Full agreements and side letters.
CH7-URIF-001,2025-04-30,The United States and Ukraine created the U.S.-Ukraine Reconstruction Investment Fund.,Established by official agency records,High,CH7-P014; CH7-P015,Creates an institutional and financial U.S. stake in Ukraine's recovery.,Commercial stake is not a formal security guarantee and may create conflicts over resources or valuation.,The fund linked U.S. and Ukrainian economic interests but did not substitute for a defense commitment.,"Full agreement, governance documents, valuation rules, beneficial ownership, project diligence."
CH7-URIF-002,2026-03/06,URIF became operational by approving investments and maintaining a substantial project pipeline.,Established by official agency records,High,CH7-P035; CH7-P036,Counterevidence to claims that the 2025 agreement was purely symbolic.,Investment quality and scale remain to be assessed.,The fund moved from agreement to implementation in 2026.,"Board minutes, term sheets, due diligence, conflicts, project performance."
CH7-NATO-001,2025-06-25,"NATO reaffirmed Article 5, identified Russia as a long-term threat, and adopted a 5-percent defense and security investment benchmark.",Established by NATO declaration,High,CH7-P017,Strong counterevidence to a prediction of near-term NATO abandonment.,Implementation is gradual; Trump rhetoric may still weaken perceived credibility.,Formal NATO commitments strengthened even as alliance rhetoric remained contentious.,National implementation plans and force-posture data.
CH7-AID-001,2025-07-02/07,DOD paused some assistance for a capability review and then announced additional defensive weapons at Trump's direction.,Established by official DOD records,High,CH7-P018; CH7-P019,Shows internal inconsistency or tactical review rather than permanent termination.,"Without itemized data, the operational significance is uncertain.",The administration both interrupted and restored/expanded defensive assistance in July.,"Item list, stockpile assessments, delivery dates, battlefield impact."
CH7-PURL-001,2025-08/12,PURL enabled European and Canadian financing of U.S. weapons for Ukraine and exceeded $4 billion in pledged packages by December 2025.,Established by NATO records,High,CH7-P020; CH7-P021,Supports a burden-sharing interpretation and contradicts an end-of-support narrative.,Pledges are not the same as delivery or use; shifts more financial burden to allies.,PURL sustained U.S.-made weapons flows through allied financing.,"Package contents, contracts, delivery schedules, end-use reporting."
